stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
55,3092,ALVARADO & FULTON NS/NB,ALVARADO AVE & FULTON ST,37.985485,-121.290296,,,,
56,3093,FULTON @ 517 FULTON MB/WB,FULTON ST & 517 FULTON,37.984708,-121.294158,,,,
57,3094,FULTON & SUTTER NS/WB,FULTON ST & SUTTER ST,37.984109,-121.296571,,,,
59,3095,ESSEX & SUTTER FS/WB,ESSEC ST & SUTTER ST,37.988096,-121.298378,,,,
60,7028,ESSEX & EL DORADO NS WB,ESSEX ST & EL DORADO ST,37.987176,-121.302102,,,,
62,3096,JAMESTOWN & SHELLEY FS/EB,JAMESTOWN ST & SHELLEY CT,37.993751,-121.303727,,,,
64,3098,KENTFIELD & BIANCHI NS/SB,KENTFIELD RD & BIANCHI RD,37.992878,-121.300554,,,,
65,3099,CLAREMONT & BIANCHI FS/NB,CLAREMONT AVE & BIANCHI RD,37.991796,-121.306094,,,,
66,3100,CLAREMONT & GOLD RUN  NS/NB,CLAREMONT AVE & GOLD RUN PL,37.992732,-121.307244,,,,
67,3101,CLAREMONT & PARDEE NS/NB,CLAREMONT AVE & PARDEE LN,37.993544,-121.308164,,,,
73,3448,PACIFIC  AV & LONGVIEW AV FS/SB,PACIFIC AVE & LONGVIEW AVE,38.003398,-121.3176,,,,
74,3840,PACIFIC & SWAIN FS NB,PACIFIC AVE & SWAIN RD,38.004656,-121.317946,,,,
77,7067,PACIFIC & BENJAMIN HOLT FS SB,PACIFIC AVE & BENJAMIN HOLT DR,38.010936,-121.320665,,,,
78,3842,PACIFIC & LINCOLN NS NB,PACIFIC AVE & LINCOLN RD,38.013746,-121.321587,,,,
79,3733,THORNTON & HAMMER FS NB,THORNTON RD & HAMMER LN,38.021229,-121.325263,,,,
83,3463,PONCE DE LEON & LOWER SAC NS/WB,PONCE DE LEON & LOWER SACRAMENTO RD,38.030117,-121.322649,,,,
84,3334,YOKUTS & EL DORADO FS/WB,YOKUTS AVE & EL DORADO ST,37.998541,-121.306904,,,,
86,3471,EL DORADO @ ST. MARYS HIGH MB/NB,EL DORADO ST & ST. MARYS HS,38.004706,-121.307483,,,,
91,3456,INGLEWOOD & BENJAMIN HOLT NS/NB,INGLEWOOD AVE & BENJAMIN HOLT DR,38.011705,-121.317365,,,,
95,3459,EL DORADO & MISSION PARK NS/NB,EL DORADO ST & MISSION  PARK,38.019325,-121.315049,,,,
98,3461,EL DORADO ST & MARTINIQUE NS/NB,EL DORADO ST & MARTINIQUE CT,38.029059,-121.316219,,,,
99,3462,PONCE DE LEON  AV & ANTOINO FS/WB,PONCE DE LEON AVE & ANTONIO WY,38.030102,-121.318532,,,,
103,3466,PONCE DE LEON & STONEWOOD NS/WB,PONCE DE LEON & STONEWOOD DR,38.029588,-121.327318,,,,
111,3477,HICKOCK & PAWNEE FS/NB,HICKOCK DR & PAWNEE WY,38.038308,-121.335908,,,,
112,3478,HICKOCK & CHEYENNE NS/NB,HICKOCK DR & CHEYENNE WY,38.040093,-121.335013,,,,
118,3485,DAVIS RD & LARAMIE DR NS/SB,,38.038266,-121.331859,,,,
126,3488,EL DORADO & LOS FELIZ NS/SB,E DORADO ST & LOS FELIS AVE,38.032466,-121.317511,,,,
129,3490,EL DORADO & GLENCANNON FS/SB,EL DORADO ST & GLENCANNON ST,38.026266,-121.316286,,,,
132,7120,EL DORADO & MISSION PARK FS SB,EL DORADO ST & MISSION PARK,38.019397,-121.315222,,,,
133,3492,EL DORADO & LINCOLN FS/SB,EL DORADO ST & LINCOLN RD,38.016579,-121.312517,,,,
138,3455,INGLEWOOD AV & GLENDORA AV FS/NB,INGLEWOOD AVE & GLENDORA AVE,38.008797,-121.315868,,,,
141,3512,EL DORADO & SWAIN FS/SB,EL DORADO ST & SWAIN RD,38.007159,-121.308589,,,,
143,3470,YOKUTS AVE & EL DORADO ST NS/EB,,37.99863,-121.306202,,,,
150,3851,PACIFIC & WILLORA NS SB,PACIFIC AVE & WILLORA RD,38.015538,-121.322451,,,,
151,3823,PACIFIC & LINCOLN ROAD FS SB,PACIFIC AVE & LINCOLN RD,38.013692,-121.321771,,,,
152,7065,PACIFIC & BENJAMIN HOLT FS NB,PACIFIC AVE & BENJAMIN HOLT DR,38.011141,-121.320538,,,,
153,3884,PACIFIC & DOUGLAS FS SB,PACIFIC AVE & DOUGLAS RD,38.008161,-121.31957,,,,
155,3885,PACIFIC & SWAIN NS SB,PACIFIC AVE & SWAIN RD,38.004593,-121.318083,,,,
161,3104,EL DORADO & JAMESTOWN FS/SB,EL DROADO ST & JAMESTOWN ST,37.992885,-121.304577,,,,
166,3106,SUTTER & FULTON NS/SB,SUTTER ST & FULTON ST,37.984385,-121.29679,,,,
167,3107,FULTON @ 571 FULTON MB/EB,FULTON ST & 571 FULTON ST,37.984672,-121.294181,,,,
168,3108,FULTON & STANISLAUS FS/EB,FULTON ST & STANISLAUS ST,37.985163,-121.292308,,,,
169,3109,ALVARADO & OAK PARK MB/SB,ALVARADO AVE & OAK PARK,37.98462,-121.289997,,,,
170,3110,ALVARADO & ALPINE NS/SB,ALVARADO AVE & ALPINE AVE,37.98288,-121.289295,,,,
178,3111,CALIFORNIA & WALNUT FS/SB,CALIFORNIA ST & WALNUT ST,37.969991,-121.289018,,,,
191,3112,SAN JOAQUIN & LAFAYETTE NS/SB,SAN JOAQUINST & LAFAYETTE ST,37.950252,-121.286406,,,,
193,3113,SAN JOAQUIN & HAZELTON NS/SB,SAN JOAQUIN ST & HAZELTON AVE,37.947335,-121.285589,,,,
194,7029,SAN JOAQUIN ST & TAYLOR ST NS NB,,37.945078,-121.284922,,,,
195,3114,SAN JOAQUIN & ANDERSON NS/SB,SAN JOAQUIN ST & ANDERSON ST,37.943401,-121.284507,,,,
196,3115,SAN JOAQUIN & JACKSON NS/SB,SAN JOAQUIN ST & JACKSON ST,37.941393,-121.283955,,,,
197,7033,SAN JOAQUIN & CHARTER FS SB,SAN JOAQUIN ST & MLK BLVD,37.939282,-121.283386,,,,
198,3116,SAN JOAQUIN & 2ND NS/SB,SAN JOAQUIN ST & 2ND ST,37.936986,-121.282781,,,,
199,3117,SAN JOAQUIN & 4TH FS/SB,SAN JOAQUIN ST & 4TH ST,37.934327,-121.282057,,,,
200,3118,SAN JOAQUIN & 6TH NS/SB,SAN JOAQUIN ST & 6TH ST,37.931883,-121.281378,,,,
201,3120,EL DORADO & 9TH NS/SB,EL DORADO ST & 9TH ST,37.927073,-121.282042,,,,
202,3121,EL DORADO & MOSSWOOD NS/SB,EL DORADO ST & MOSSWOOD AVE,37.92462,-121.281054,,,,
203,3122,MOSSWOOD & COMMERCE FS/EB,MOSSWOOD AVE & COMMERCE ST,37.923977,-121.282902,,,,
204,3123,ODELL & MOSSWOOD FS/SB,ODELL AVE & MOSSWOOD AVE,37.923334,-121.285589,,,,
205,3124,ODELL & HORTON FS/SB,ODELL AVE & HORTON AVE,37.921113,-121.284704,,,,
206,3125,ODELL & IVY NS/SB,ODELL AVE & IVY AVE,37.917758,-121.283313,,,,
211,7034,CLAYTON & ODELL FS EB,CLAYTON AVE & ODELL AVE,37.910148,-121.280164,,,,
215,3130,EL DORADO & FRENCH CAMP NS/SB,EL DORADO ST & FRENCH CAMP RD,37.890859,-121.276333,,,,
216,3131,HOSPITAL RD & EL DORADO ST FS/WB,,37.885809,-121.276997,,,,
217,3869,CAROLYN WESTON & E.W.S. WOODS FS WB,CAROLYN WESTON BLVD & E.W.S. WOODS BLVD,37.911505,-121.304645,,,,
239,3855,CHURCH ST & SAN JOSE ST NS EB,,37.945151,-121.30398,,,,
243,7037,LINCOLN STREET & WEBER NS NB,LINCOLN ST & WEBER AVE,37.952319,-121.297827,,,,
255,3698,MARKET & AIRPORT  WAY FS EB,MARKET ST & AIRPORT WY,37.954395,-121.273747,,,,
257,3699,MARKET & DELLA NS EB,MARKET ST & DELLA ST,37.955262,-121.268726,,,,
259,3700,MAIN & LAUREL NS EB,MAIN ST & LAUREL ST,37.955387,-121.262441,,,,
260,3701,MAIN & SO COURT FS EB,MAIN ST & S. COURT ST,37.955236,-121.259707,,,,
261,3702,MAIN & MARSH NS EB,MAIN ST & MARSH ST,37.955102,-121.256766,,,,
267,3704,MAIN & GOLDEN GATE FS EB,MAIN ST & GOLDEN GATE AVE,37.954424,-121.244208,,,,
268,3705,MAIN & NETHERTON NS EB,MAIN ST & NETHERTON AVE,37.954317,-121.242243,,,,
269,3706,MAIN & ANTEROS FS EB,MAIN ST & ANTEROS AVE,37.954084,-121.237475,,,,
272,3707,ORO & HORNER NS NB,ORO AVE & HORNER AVE,37.957671,-121.235774,,,,
290,3708,ORO & WASHINGTON NS NB,ORO AVE & WASHINGTON ST,37.962355,-121.237657,,,,
293,3684,MAIN & NETHERTON NS WB,MAIN ST & NETHERTON AVE,37.954433,-121.242209,,,,
294,3685,MAIN & GOLDEN GATE NS WB,MAIN ST & GOLDEN GATE AVE,37.954549,-121.244483,,,,
297,7149,MAIN & FILBERT FS WB,MAIN ST & FILBERT ST,37.95487,-121.251883,,,,
299,3687,MAIN & E STREET  FS WB,"MAIN ST & ""E"" ST",37.955129,-121.256858,,,,
301,3689,MAIN & LAFAYETTE FS WB,MAIN ST & LAFAYETTE ST,37.955363,-121.2617,,,,
303,3690,MAIN & DELLA NS WB,MAIN ST & DELLA ST,37.955717,-121.268715,,,,
304,3691,MAIN & SIERRA NEVADA FS WB,MAIN ST & SIERRA NEVADA ST,37.955591,-121.272862,,,,
314,3861,WEBER  & TULEBURG AVE WB,WEBER AVE & TULEBURG LEVEE,37.952837,-121.295139,,,,
318,3863,CHURCH ST & SAN JOSE ST NS WB,,37.945223,-121.303658,,,,
319,3854,CHURCH & PERSHING FS EB,CHURCH ST & PERSHING AVE,37.944971,-121.30784,,,,
323,7248,LOS ANGELES & SONORA NS SB,,37.944406,-121.315077,,,,
329,7045,ALPINE & DELAWARE FS EB,ALPINE AVE & DELAWARE AVE,37.971621,-121.332884,,,,
349,3608,STANISLAUS & WEBER FS SB,STANISLAUS ST & WEBER AVE,37.954991,-121.282192,,,,
411,7042,COUNTRY CLUB & PERSHING FS WB,COUNTRY CLUB BLVD & PERSHING AVE,37.969418,-121.315379,,,,
423,7041,HARDING & PACIFIC FS WB,HARDING WY & PACIFIC AVE,37.966728,-121.298468,,,,
435,3339,WILSON & PARK (EASTLAND PLZ.) FS/NB,WILSON WY & PARK ST,37.962809,-121.273416,,,,
436,3340,WILSON WY & POPLAR ST NS/NB,,37.96446,-121.273865,,,,
437,3341,WILSON WY & ROOSEVELT ST NS/NB,,37.967172,-121.27459,,,,
439,7088,WILSON WY & HARDING WY FS NB,,37.971053,-121.275625,,,,
443,3345,FUNSTON AV & ORWOOD ST NS NB,FUNSTON AVE & ORWOOD ST,37.976638,-121.273547,,,,
445,3346,FUNSTON AV & SANGUINETTI LN NS/EB,FUNSTON AVE & SANGUINETTI LN,37.981359,-121.270882,,,,
452,3349,FILBERT ST & WATERLOO FS/SB,FLBERT ST & WATERLOO RD,37.976961,-121.261732,,,,
457,3696,FLORA & D STREET FS WB,"FLORA ST & ""D"" ST",37.966067,-121.264328,,,,
469,3351,GOLDEN GATE  & JOHN ST NS/NB,GOLDEN GATE AVE & JOHN ST,37.977167,-121.255319,,,,
471,3352,WATERLOO RD & SUNSET AV FS/WB,WATERLOO RD & SUNSET AVE,37.978969,-121.258894,,,,
482,3365,FUNSTON & ORWOOD NS/SB,FUNSTON AVE & ORWOOD ST,37.976745,-121.273535,,,,
483,3344,FUNSTON AV & BRADFORD ST FS/NB,FUNSTON AVE & BRADFORD ST,37.974363,-121.274419,,,,
484,3343,BRADFORD ST & WILSON WY FS/EB,,37.973899,-121.276247,,,,
486,7097,WILSON & HARDING FS SB,WILSON WY & HARDING WY,37.970598,-121.275556,,,,
487,3367,WILSON & ACACIA FS/SB,WILSON WY & ACACIA ST,37.965637,-121.27421,,,,
489,3368,WILSON & OAK NS/SB,WILSON WY & OAK ST,37.96189,-121.273186,,,,
492,3338,STANISLAUS & MINER NS/NB,STANISLAUS ST & MINER AVE,37.95699,-121.282721,,,,
512,7054,COUNTRY CLUB & PERSHING NS EB,COUNTRY CLUB BLVD & PERSHING AVE,37.969454,-121.315138,,,,
522,7128,8TH & B STREET FS EB,"8TH ST & ""B"" ST",37.933921,-121.255294,,,,
527,3546,AIRPORT & 2ND FS/NB,AIRPORT WY & 2ND ST,37.937479,-121.269044,,,,
536,3550,STANISLAUS & LAFAYETTE NS/NB,STANISLAUS ST & LAFAYETTE ST,37.951084,-121.281122,,,,
537,3551,STANISLAUS & MARKET NS/NB,STANISLAUS ST & MARKET ST,37.953037,-121.281639,,,,
538,3552,STANISLAUS & MAIN NS/NB,STANISLAUS ST & MAIN ST,37.95401,-121.281893,,,,
542,3555,EL DORADO & FREMONT FSNB,EL DORADO ST & FREMONT ST,37.957576,-121.291109,,,,
546,3558,EL DORADO & ACACIA FS/NB,EL DORADO ST & ACACIA ST,37.962643,-121.292433,,,,
549,3559,EL DORADO & WILLOW NS/NB,EL DORADO ST & WILLOW ST,37.966489,-121.293492,,,,
550,7130,EL DORADO & SPERRY FS NB,EL DORADO ST & SPERRY AVE,37.968264,-121.294056,,,,
553,3561,EL DORADO & ADAMS FS/NB,EL DORADO ST & ADAMS ST,37.973813,-121.296439,,,,
556,3563,EL DORADO & ALPINE FS/NB,EL DORADO ST & ALPINE AVE,37.980057,-121.299235,,,,
558,3564,EL DORADO & FULTON NS/NB,EL DORADO ST & FULTON ST,37.983295,-121.300582,,,,
560,3598,EL DORADO & CHURCHILL FS SB,EL DORADO ST & CHURCH ST,37.985838,-121.301664,,,,
562,3567,EL DORADO & SWAIN FS/NB,EL DORADO ST & SWAIN RD,38.007257,-121.308462,,,,
564,3569,EL DORADO & BENJAMIN HOLT NS NB,EL DORADO ST & BENJAMIN HOLT DR,38.011888,-121.308684,,,,
565,3570,EL DORADO & LINCOLN FS NB,EL DORADO ST & LINCOLN RD,38.016686,-121.312425,,,,
569,4031,HAMMER LN & LAN ARK DR FS WB,,38.020988,-121.309508,,,,
572,3574,KNICKERBOCKER & PALISADES FS EB,KNICKERBOCKER DR & PALISADES DR,38.023169,-121.298458,,,,
573,7131,KNICKERBOCKER & WEST LANE FS EB,KNICKERBOCKER DR & WEST LANE,38.024188,-121.294698,,,,
574,3576,BORDEAUX & MOULIN NS EB,BORDEAUX AVE & MOULIN CT,38.02402,-121.290788,,,,
575,3577,BORDEAUX & CHATEAU FS EB,BORDEAUX AVE & CHATEAU DR,38.024029,-121.288948,,,,
578,3579,BORDEAUX & BURGUNDY NS EB,BORDEAUX AVE & BURGUNDY DR,38.024236,-121.283601,,,,
579,3580,BURGUNDY & CHERBOURG NS NB,BURGUNDY DR & CHERBOURG WY,38.025503,-121.283337,,,,
580,7132,CHERBOURG & PYRENESS FS NB,CHERBOURG WY & PYRENESS AVE,38.02768,-121.285304,,,,
582,3581,CHERBOURG & SANDALWOOD NS NB,CHERBOURG WY & SANDALWOOD DR,38.032087,-121.285467,,,,
587,3589,WEST LANE @ CHRISTIAN CENTER NB,WEST LANE RD & CHRISTIAN CENTER,38.029862,-121.295323,,,,
589,7133,PROSPECTOR & TAMOSHANTER NS WB,PROSPECTOR DR & TAM O'SHANTER DR,38.032162,-121.300408,,,,
593,4030,HAMMER & TAM O`SHANTER FS WB,HAMMER LN & TAM O'SHANTER DR,38.020983,-121.300653,,,,
595,3572,IRIS & LAN ARK NS EB,IRIS AVE & LAN ARK DR,38.021925,-121.309601,,,,
599,3596,EL DORADO & BENJAMIN HOLT FS SB,EL DORADO ST & BENJAMIN HOLT DR,38.011861,-121.308845,,,,
604,3599,EL DORADO & FULTON FS SB,EL DORADO ST & FULTON ST,37.983278,-121.300617,,,,
606,3601,EL DORADO & NOBLE NS SB,EL DORADO ST & NOBLE ST,37.976105,-121.297704,,,,
607,3602,EL DORADO & CASTLE NS SB,EL DORADO ST & CASTLE ST,37.974205,-121.296726,,,,
610,7134,CENTER & HARDING FS SB,CENTER ST & HARDING WY,37.967264,-121.295113,,,,
613,3603,CENTER & ACACIA FS SB,CENTER ST & ACACIA ST,37.962358,-121.293777,,,,
614,3604,CENTER & FLORA,CENTER ST & FLORA ST,37.960466,-121.293236,,,,
618,3609,STANISLAUS & MARKET NS SB,STANISLAUS ST & MARKET ST,37.953064,-121.281674,,,,
619,3610,STANISLAUS & LAFAYETTE FS SB,STANISLAUS ST & LAFAYETTE ST,37.951066,-121.281145,,,,
622,3611,STANISLAUS & WORTH NS SB,STANISLAUS ST & WORTH ST,37.945142,-121.279499,,,,
627,3545,AIRPORT & 6TH NS/NB,AIRPORT WY & 6TH ST,37.93466,-121.267975,,,,
630,7135,RALPH & AIRPORT FS EB,RALPH AVE & AIRPORT WY,37.920153,-121.261747,,,,
632,3617,RALPH & ANNE NS EB,RALPH AVE & ANNE ST,37.921242,-121.257487,,,,
634,3619,B STREET & RALPH FS NB,"""B"" ST & RALPH AVE",37.923,-121.250952,,,,
639,3406,8TH ST & LAGUNA CIRCLE NS/EB,,37.926619,-121.306092,,,,
640,7104,8TH & ARGONAUT FS WB,8TH ST & ARGONAUT ST,37.926656,-121.302922,,,,
641,7015,MANTHEY & 8TH NS NB,MANTHEY RD & 8TH ST,37.926534,-121.296237,,,,
643,3134,8TH & HARRISON NS/EB,8T ST & HARRISON ST,37.92724,-121.291897,,,,
644,3135,LINCOLN STREET & 7TH FS/NB,LINCOLN ST & 7TH ST,37.928418,-121.290335,,,,
646,3136,LINCOLN STREET & KOHLER NS/NB,LINCOLN ST & KOHLER ST,37.931023,-121.291692,,,,
647,3137,LINCOLN STREET & 4TH FS/NB,LINCOLN ST & 4TH ST,37.932397,-121.292186,,,,
648,3138,LINCOLN STREET & FRENCH CAMP TPK NB,LINCOLN ST & FRENCH CAMP RD,37.934797,-121.293038,,,,
649,7035,LINCOLN STREET & CHARTER FS NB,LINCOLN ST & MLK BLVD,37.937643,-121.29382,,,,
650,3139,LINCOLN STREET & JACKSON FS/NB,LINCOLN ST & JACKSON ST,37.939543,-121.294327,,,,
681,3411,PACIFIC AV & ROBINHOOD DR NS/NB,PACIFIC AVE & ROBINHOOD DR,38.00057,-121.316263,,,,
682,3447,SWAIN RD & PACIFIC AV NS/EB,SWAIN RD & PACIFIC AVE,38.004531,-121.318152,,,,
683,3446,SWAIN RD & GETTYSBURG PL FS/EB,,38.003914,-121.320658,,,,
686,3474,GETTYSBURG & BENJAMIN HOLT NS/NB,GETTYSBURG & BENJAMIN HOLT DR,38.009979,-121.323918,,,,
692,7106,SWAIN & PERSHING FS WB,SWAIN RD & PERSHING AVE,38.002358,-121.327072,,,,
693,3767,PERSHING & BUCKINGHAM NS NB,PERSHING AVE & BUCKINGHAM WY,38.000065,-121.326104,,,,
716,3497,BENJAMIN HOLT & HARRISBURG FS/WB,BENJAMIN HOLT DR & HARRISBURG PL,38.007189,-121.334033,,,,
717,3498,BENJAMIN HOLT & ALEXANDRIA FS/WB,BENJAMIN HOLT DR & ALEXANDRIA PL,38.005713,-121.338757,,,,
718,3499,BENJAMIN HOLT & BELMONT PL FS/WB,BENJAMIN HOLT DR & BELMONT PL,38.005085,-121.343562,,,,
719,3500,BENJAMIN HOLT & PLYMOUTH FS/WB,BENJAMIN  HOLT DR & PLYMOUTH RD,38.004955,-121.350012,,,,
720,3501,GRIGSBY & BENJAMIN HOLT FS/SB,GRIGSBY PL & BENJAMIN HOLT DR,38.004721,-121.353,,,,
723,3502,SWAIN &  HALLECK NS/WB,SWAIN RD & HALLECK PL,38.000481,-121.355397,,,,
724,3503,CUMBERLAND & SWAIN FS/NB,CUMBERLAND DR & SWAIN RD,37.999712,-121.357926,,,,
725,3504,CUMBERLAND & S. MONITOR CIR NS/NB,CUMBERLAND DR & S. MONITOR CIR,38.000951,-121.359272,,,,
726,3505,CUMBERLAND & HARPERS FERRY FS/NB,CUMBERLAND DR & HARPERS FERRY,38.003099,-121.360839,,,,
729,3449,MILL SPRINGS & CUMBERLAND FS/ EB,MILL SPRINGS DR & CUMBERLAND DR,38.008326,-121.363031,,,,
733,3452,BENJAMIN HOLT & GRIGSBY NS/EB,BENJAMIN HOLT DR & GRIGSBY PL,38.004766,-121.353024,,,,
749,3789,MEADOW & PARKWOODS NS SB,MEADOW VE & PARKWOODS DR,38.016811,-121.341415,,,,
750,3790,MEADOW & ALEXANDRIA NS SB,MEADOW AVE & ALEXANDER PL,38.016107,-121.339217,,,,
751,3791,MEADOW & LARKSPUR NS SB,MEADOW AVE & LARKSPUR LN,38.016003,-121.336239,,,,
752,3792,MEADOW & BRENTWOOD NS SB,MEADOW AVE & BRENTWOOD DR,38.016023,-121.332226,,,,
753,3793,PERSHING & LINCOLN ROAD NS SB,PERSHING AVE & LINCOLN RD,38.013767,-121.329866,,,,
761,3412,SWAIN RD & PACIFIC AV FS/WB,SWAIN RD & PACIFIC AVE,38.004567,-121.318187,,,,
765,7073,ROBINHOOD & PERSHING FS EB,ROBINHOOD DR & PERSHING AVE,37.99813,-121.32509,,,,
777,7782,PACIFIC & SONOMA (LUCKY/PARK) NS SB,PACIFIC AVE & SONOMA,37.977655,-121.304888,,,,
783,7013,PACIFIC & ELM FS SB,PACIFIC AVE & ELM ST,37.96782,-121.298447,,,,
791,3605,CENTER & FREMONT NS SB,CENTER ST & FREMONT ST,37.957558,-121.292476,,,,
801,3155,LINCOLN STREET & JACKSON NS/SB,LINCOLN ST & JACKSON ST,37.939579,-121.294361,,,,
802,7039,LINCOLN STREET & CHARTER FS SB,LINCOLN ST & MLK BLVD,37.937438,-121.293797,,,,
803,3156,LINCOLN STREET & FRENCH CAMP FS/SB,LINCOLN ST & FRENCH CAMP RD,37.934672,-121.293038,,,,
805,3158,LINCOLN STREET & KOHLER NS/SB,LINCOLN ST & KOHLER ST,37.931095,-121.291749,,,,
807,3159,LINCOLN STREET & 8TH NS/SB,LINCOLN ST & 8TH ST,37.92766,-121.290117,,,,
808,3160,8TH & FRENCH CAMP NS/WB,8TH ST & FRENCH CAMP RD,37.927052,-121.292919,,,,
810,3161,LEVER & COLORADO NS/SB,LEVER BLVD & COLORADO AVE,37.92391,-121.298728,,,,
813,7040,FLINT & GEORGIA FS EB,FLINT AVE & GEORGIA AVE,37.921214,-121.301517,,,,
816,3164,CHICAGO & ALABAMA NS/EB,CHICAGO AVE & ALABAMA AVE,37.923688,-121.294513,,,,
819,3407,8TH ST & ARGONAUT ST FS/EB,,37.926629,-121.302818,,,,
820,3399,8TH & CAPITOLA CIRCLE ENT FS/WB,8TH ST & CAPITOLA CIR,37.926645,-121.307975,,,,
821,3400,DRY CREEK & DIABLO CREEK FS/SB,DRY CREEK WY & DIABLO CREEK DR,37.925859,-121.309008,,,,
854,3350,HARDING WY & RHODE ISLAND NS/EB,HARDING WY & RHODE ISLAND AVE,37.974329,-121.257548,,,,
875,3725,FREMONT & VAN BUREN NS WB,FREMONT ST & VAN BUREN ST,37.956646,-121.297589,,,,
880,7061,FREMONT ST & PERSHING AV FS EB,FREMONT ST & PERSHING AVE,37.954222,-121.312087,,,,
902,7072,FEATHER RIVER & MARCH LANE NS SB,FEATHER RIVER DR & MARCH LN,37.984454,-121.347559,,,,
911,4052,PERSHING & MARCO POLO FS SB,PERSHING AVE & MARCO POLO DR,37.992537,-121.32328,,,,
912,4051,PERSHING & VENETIAN FS SB,PERSHING AVE & VENETIAN DR,37.99614,-121.324663,,,,
927,3622,KERMIT LN & LONGVIEW AVE NS NB,,38.007866,-121.30222,,,,
928,3636,KERMIT & SWAIN FS SB,KERMIT LN & SWAIN RD,38.008705,-121.302565,,,,
930,3625,CORDOVA LN & KERMIT LN FS WB,,38.016235,-121.30364,,,,
931,3626,VILLA DR & CORDOVA LN FS NB,,38.016207,-121.306836,,,,
932,3627,VILLA & MURILLO NS NB,VILLA DR & MURILLO DR,38.017375,-121.307803,,,,
933,3631,VILLA DR & GOYA DR FS SB,,38.018356,-121.308448,,,,
934,3629,LOS MOLINAS & GOYA FS NB,LOS MOLINAS LN & GOYA DR,38.018401,-121.307091,,,,
935,7136,LOS MOLINAS & PRADO NS NB,LOS MOLINAS LN & PRADO WY,38.020302,-121.30707,,,,
938,7166,HAMMER & WEST LANE FS EB,HAMMER LN & WEST LANE,38.020834,-121.292362,,,,
940,3333,KENTFIELD & GATEWAY FS/NB,KENTFIELD RD & GATEWAY CT,37.996937,-121.302718,,,,
950,3309,TAM O'SHANTER @ THE PINES FS/NB,,38.014337,-121.298303,,,,
954,3313,HAMMERTOWN & MONTAUBAN FS/EB,,38.016544,-121.288887,,,,
956,3315,LORRAINE AVE & HAMMER LN NS/NB,LORRAINE & VILLAGE GREEN,38.020667,-121.283208,,,,
963,3312,HAMMERTOWN & WEST LANE FS/EB,HAMMERTOWN DR & WEST LANE,38.016533,-121.29413,,,,
964,7077,HAMMERTOWN  @ KAISER ENT FS WB,HAMMERTOWN  DR & KAISER ENTRANCE,38.016577,-121.297063,,,,
965,3310,TAM O'SHANTER & HAMMERTOWN NS/NB,,38.015924,-121.299224,,,,
971,7080,WEST LANE & MARCH LANE FS SB,WEST LANE & MARCH LN,38.001911,-121.290719,,,,
974,3330,BIANCHI & DORSET FS/WB,BIANCHI RD & DORSET ST,37.994271,-121.298152,,,,
976,3097,KENTFIELD & SURREY LANE NS/SB,KENTFIELD RD & SURREY LN,37.994323,-121.301348,,,,
979,7168,HAMMER & WEST LANE FS WB,HAMMER LN & WEST LANE,38.020976,-121.294995,,,,
